,Phrase,Counts,Freq,N,tf_idf
590,"('kommission', 'einstimm')",102.0,6.0,11,61.82585196417218
599,"('vorhin', 'gesagt')",102.0,6.0,11,61.82585196417218
1394,"('dank', 'herrn')",61.0,4.0,11,61.70765561238727
1409,"('new', 'york')",61.0,4.0,11,61.70765561238727
935,"('schon', 'erwahnt')",78.0,5.0,11,61.49967410841308
362,"('diskussion', 'kommission')",136.0,7.0,11,61.46997682905578
193,"('ja', 'nein')",193.0,8.0,11,61.46157010587718
600,"('wohl', 'kaum')",101.0,6.0,11,61.21971616060186
605,"('ja', 'gerad')",101.0,6.0,11,61.21971616060186
195,"('bereit', 'gesagt')",192.0,8.0,11,61.14311637475864
366,"('mocht', 'beton')",135.0,7.0,11,61.017991705312724
368,"('u', 'a')",135.0,7.0,11,61.017991705312724
957,"('gesetz', 'verankert')",77.0,5.0,11,60.71121674804881
958,"('einstimm', 'kommission')",77.0,5.0,11,60.71121674804881
960,"('hinzu', 'kommt')",77.0,5.0,11,60.71121674804881
1444,"('denk', 'dabei')",60.0,4.0,11,60.69605470070879
610,"('radioaktiv', 'abfall')",100.0,6.0,11,60.61358035703155
612,"('gross', 'zahl')",100.0,6.0,11,60.61358035703155
614,"('diskutiert', 'word')",100.0,6.0,11,60.61358035703155
615,"('neu', 'absatz')",100.0,6.0,11,60.61358035703155
371,"('mind', 'folg')",134.0,7.0,11,60.56600658156967
372,"('rund', 'tisch')",134.0,7.0,11,60.56600658156967
203,"('finanziell', 'mittel')",190.0,8.0,11,60.50620891252157
376,"('deshalb', 'muss')",133.0,7.0,11,60.11402145782661
617,"('neu', 'bestimm')",99.0,6.0,11,60.007444553461234
965,"('teil', 'auffass')",76.0,5.0,11,59.92275938768454
967,"('einfach', 'bundesbeschluss')",76.0,5.0,11,59.92275938768454
974,"('post', 'swisscom')",76.0,5.0,11,59.92275938768454
1468,"('pro', 'kilowattstund')",59.0,4.0,11,59.684453789030314
1485,"('sinn', 'gesetz')",59.0,4.0,11,59.684453789030314
3359,"('fried', 'sicherheitspolit')",35.0,2.0,11,59.666183228344885
207,"('mocht', 'frag')",187.0,8.0,11,59.550847719165965
626,"('beim', 'bundesamt')",98.0,6.0,11,59.401308749890916
631,"('standerat', 'beschloss')",98.0,6.0,11,59.401308749890916
633,"('frank', 'wenig')",98.0,6.0,11,59.401308749890916
381,"('minderheitsantrag', 'abzulehn')",131.0,7.0,11,59.210051210340495
383,"('neu', 'aufgab')",131.0,7.0,11,59.210051210340495
385,"('schon', 'seit')",131.0,7.0,11,59.210051210340495
25,"('zwei', 'jahr')",619.0,10.0,11,58.99700129887714
209,"('bundesrat', 'meinung')",185.0,8.0,11,58.913940256928896
210,"('mitarbeiterinn', 'mitarbeit')",185.0,8.0,11,58.913940256928896
