,Speaker Party,Phrase,Counts,Freq,N,tf_idf
149,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'mind')",17.0,1,11,40.7642196375723
152,Sozialdemokratische Partei der Schweiz (SP),"('unt', 'mittl')",40.0,4,11,40.464036467139195
153,Schweizerische Volkspartei (SVP),"('pro', 'helvetia')",40.0,4,11,40.464036467139195
155,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'or')",51.0,5,11,40.21132537857778
156,Sozialdemokratische Partei der Schweiz (SP),"('mehr', 'geld')",66.0,6,11,40.00496303564082
158,Sozialdemokratische Partei der Schweiz (SP),"('pro', 'jahr')",198.0,9,11,39.732797701505945
163,Schweizerische Volkspartei (SVP),"('gemass', 'artikel')",86.0,7,11,38.87072064190292
164,Schweizerische Volkspartei (SVP),"('offent', 'verkehr')",86.0,7,11,38.87072064190292
169,Schweizerische Volkspartei (SVP),"('pensionskass', 'bund')",38.0,4,11,38.44083464378224
172,Schweizerische Volkspartei (SVP),"('svpfraktion', 'lehnt')",16.0,1,11,38.36632436477393
194,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'antrag')",37.0,4,11,37.429233732103754
197,Sozialdemokratische Partei der Schweiz (SP),"('einseit', 'massnahm')",47.0,5,11,37.057495937120706
201,Sozialdemokratische Partei der Schweiz (SP),"('mieterinn', 'miet')",61.0,6,11,36.974284017789245
203,Sozialdemokratische Partei der Schweiz (SP),"('entwurf', 'bundesrat')",115.0,8,11,36.622179078631476
205,Sozialdemokratische Partei der Schweiz (SP),"('mind', 'i')",182.0,9,11,36.52206657411153
213,Schweizerische Volkspartei (SVP),"('svpfraktion', 'antrag')",46.0,5,11,36.26903857675643
214,Schweizerische Volkspartei (SVP),"('kanton', 'zurich')",80.0,7,11,36.15880989944458
219,Sozialdemokratische Partei der Schweiz (SP),"('rentn', 'rentnerinn')",15.0,1,11,35.96842909197556
220,Schweizerische Volkspartei (SVP),"('ansicht', 'svpfraktion')",15.0,1,11,35.96842909197556
231,Sozialdemokratische Partei der Schweiz (SP),"('zweit', 'etapp')",35.0,4,11,35.4060319087468
234,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'bundesrat')",370.0,10,11,35.26476652760022
235,Sozialdemokratische Partei der Schweiz (SP),"('mocht', 'darauf')",78.0,7,11,35.25483965195846
