,Phrase,Counts
280,"('inn', 'sich', 'bewalt', 'ausserordent', 'lag')",20
281,"('befriedigt', 'beantragt', 'kurz', 'diskussion', 'einverstand')",20
282,"('million', 'frank', 'bund', 'million', 'frank')",20
283,"('bitt', 'nam', 'svpfraktion', 'vorlag', 'einzutret')",20
284,"('gemass', 'artikel', 'absatz', 'buchstab', 'c')",20
285,"('bitt', 'antrag', 'mehrheit', 'kommission', 'zuzustimm')",20
286,"('hundert', 'million', 'frank', 'pro', 'jahr')",20
287,"('schriftlich', 'bericht', 'erhalt', 'kommission', 'beantragt')",20
288,"('eingereicht', 'parlamentar', 'initiativ', 'vorgepruft', 'initiativ')",20
289,"('mocht', 'famili', 'herz', 'tief', 'beileid')",20
290,"('famili', 'herz', 'tief', 'beileid', 'aussprech')",20
291,"('tribun', 'erheb', 'verstorb', 'moment', 'schweig')",20
292,"('bundesbeschluss', 'finanziell', 'mittel', 'landwirtschaft', 'jahr')",20
293,"('kaida', 'islam', 'staat', 'sowi', 'verwandt')",20
294,"('antrag', 'mind', 'i', 'mind', 'ii')",19
295,"('eidgenoss', 'forschungsanstalt', 'wald', 'schnee', 'landschaft')",19
296,"('bitt', 'mehrheit', 'zuzustimm', 'antrag', 'mind')",19
297,"('word', 'stell', 'fest', 'absolut', 'mehrheit')",19
298,"('uberpruf', 'system', 'inn', 'sich', 'schweiz')",19
299,"('drittel', 'bund', 'zwei', 'dritteln', 'kanton')",19
300,"('beid', 'parlamentar', 'initiativ', 'folg', 'geb')",19
301,"('schutz', 'person', 'besond', 'schutzwurd', 'sach')",19
302,"('enthalt', 'der', 'umsetz', 'erlass', 'bundesgesetz')",19
303,"('teilweis', 'befriedigt', 'beantragt', 'diskussion', 'einverstand')",19
304,"('bundesinventar', 'landschaft', 'naturdenkmal', 'national', 'bedeut')",19
305,"('kommission', 'kommission', 'beantragt', 'stimm', 'enthalt')",19
306,"('richtlini', 'schweizer', 'akademi', 'medizin', 'wissenschaft')",19
307,"('maximal', 'million', 'frank', 'pro', 'jahr')",19
308,"('fdpfraktion', 'cvpfraktion', 'teil', 'antrag', 'mehrheit')",19
309,"('schriftlich', 'bericht', 'kommission', 'beantragt', 'gegenstimm')",19
310,"('artikel', 'absatz', 'bundesgesetz', 'direkt', 'bundessteu')",19
311,"('artikel', 'absatz', 'buchstab', 'b', 'ziff')",19
312,"('artikel', 'absatz', 'buchstab', 'a', 'bundesverfass')",19
313,"('forder', 'hochschul', 'koordination', 'schweizer', 'hochschulbereich')",19
314,"('artikel', 'absatz', 'verordn', 'bundesversamml', 'redaktionskommission')",19
315,"('vertreterin', 'vertret', 'redaktionskommission', 'schlussabstimm', 'erlaut')",19
316,"('stimm', 'enthalt', 'motion', 'abzulehn', 'bundesrat')",19
317,"('mehrheit', 'kommission', 'initiativ', 'folg', 'geb')",19
318,"('mehrheit', 'folg', 'antrag', 'mind', 'i')",19
319,"('unrechtmass', 'erworb', 'vermogenswert', 'polit', 'exponiert')",19
320,"('erworb', 'vermogenswert', 'polit', 'exponiert', 'person')",19
321,"('empfiehlt', 'stimm', 'enthalt', 'antrag', 'mind')",19
322,"('stimm', 'enthalt', 'angenomm', 'bundesrat', 'beantragt')",19
323,"('angenomm', 'bundesrat', 'beantragt', 'ablehn', 'motion')",19
324,"('besuch', 'tribun', 'erheb', 'verstorb', 'moment')",19
325,"('betrag', 'million', 'frank', 'million', 'frank')",19
326,"('unversehrt', 'kind', 'abhang', 'person', 'beeintrachtigt')",19
327,"('kommission', 'wissenschaft', 'bildung', 'kultur', 'nationalrat')",19
328,"('en', 'connaissanc', 'de', 'caus', 'entscheid')",18
329,"('bitt', 'antrag', 'mehrheit', 'kommission', 'folg')",18
330,"('artikel', 'absatz', 'bundesgesetz', 'polit', 'recht')",18
331,"('bestimm', 'enthalt', 'der', 'umsetz', 'erlass')",18
332,"('bundesgesetz', 'erwerb', 'grundstuck', 'person', 'ausland')",18
333,"('mehr', 'million', 'frank', 'pro', 'jahr')",18
334,"('nach', 'vier', 'jahr', 'million', 'frank')",18
335,"('direkt', 'steu', 'bund', 'kanton', 'gemeind')",18
336,"('artikel', 'absatz', 'buchstab', 'c', 'geht')",18
337,"('bitt', 'nam', 'kommission', 'mehrheit', 'folg')",18
338,"('vorlieg', 'parlamentar', 'initiativ', 'folg', 'geb')",18
339,"('absatz', 'buchstab', 'b', 'artikel', 'absatz')",18
340,"('direkt', 'bundessteu', 'bundesgesetz', 'harmonisier', 'direkt')",18
341,"('bundessteu', 'bundesgesetz', 'harmonisier', 'direkt', 'steu')",18
342,"('cvpfraktion', 'teil', 'antrag', 'mehrheit', 'unterstutz')",18
343,"('beantragt', 'kommission', 'stimm', 'enthalt', 'motion')",18
344,"('bundesrat', 'teilweis', 'befriedigt', 'beantragt', 'kurz')",18
345,"('teilweis', 'befriedigt', 'beantragt', 'kurz', 'diskussion')",18
346,"('kommission', 'stimm', 'enthalt', 'parlamentar', 'initiativ')",18
347,"('ungefahr', 'million', 'frank', 'pro', 'jahr')",18
348,"('antrag', 'mehrheit', 'antrag', 'mind', 'i')",18
349,"('bitt', 'deshalb', 'nam', 'grun', 'fraktion')",18
350,"('stimm', 'enthalt', 'motion', 'anzunehm', 'bundesrat')",18
351,"('deshalb', 'bitt', 'mehrheit', 'kommission', 'folg')",18
352,"('mehrheit', 'kommission', 'folg', 'vorlag', 'einzutret')",18
353,"('bitt', 'deshalb', 'antrag', 'mind', 'abzulehn')",18
354,"('erheb', 'textander', 'rat', 'vertreterin', 'vertret')",18
355,"('textander', 'rat', 'vertreterin', 'vertret', 'redaktionskommission')",18
356,"('jagd', 'schutz', 'wildleb', 'saugeti', 'vogel')",18
357,"('herz', 'tief', 'beileid', 'aussprech', 'bitt')",18
358,"('artikel', 'absatz', 'verordn', 'bundesversamml', 'oktob')",18
359,"('absatz', 'verordn', 'bundesversamml', 'oktob', 'redaktionskommission')",18
360,"('frau', 'bundesratin', 'viel', 'dank', 'ausfuhr')",18
361,"('lehn', 'antrag', 'mind', 'i', 'ab')",18
362,"('bundesgesetz', 'verbot', 'gruppier', 'al', 'kaida')",18
363,"('eidgenoss', 'buros', 'gleichstell', 'frau', 'mann')",18
364,"('erhalt', 'natur', 'lebensgrundlag', 'pfleg', 'kulturlandschaft')",17
365,"('million', 'frank', 'million', 'frank', 'million')",17
366,"('frank', 'million', 'frank', 'million', 'frank')",17
367,"('beantragt', 'stimm', 'enthalt', 'standesinitiativ', 'folg')",17
368,"('bundesgesetz', 'international', 'entwicklungszusammenarbeit', 'humanitar', 'hilf')",17
369,"('parlamentar', 'initiativ', 'teusch', 'folg', 'geb')",17
370,"('mocht', 'bitt', 'antrag', 'mehrheit', 'zuzustimm')",17
371,"('million', 'frank', 'pro', 'jahr', 'verfug')",17
372,"('botschaft', 'hor', 'wohl', 'allein', 'fehlt')",17
373,"('bitt', 'artikel', 'absatz', 'mehrheit', 'folg')",17
374,"('achtung', 'menschenrecht', 'forder', 'demokrati', 'friedlich')",17
375,"('menschenrecht', 'forder', 'demokrati', 'friedlich', 'zusammenleb')",17
376,"('forder', 'demokrati', 'friedlich', 'zusammenleb', 'volk')",17
