Speaker,0,1,2,3,4,Min,Max
Ueli Maurer,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Ulrich Giezendanner,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Ulrich Schlüer,1.0,2.0,3.0,,,1.0,3.0
Ulrich Siegrist,1.0,2.0,,,,1.0,2.0
Urs Gasche,4.0,5.0,,,,4.0,5.0
Urs Hany,2.0,3.0,,,,2.0,3.0
Urs Hofmann,1.0,2.0,3.0,,,1.0,3.0
Urs Schwaller,2.0,3.0,4.0,,,2.0,4.0
Ursula Haller Vannini,1.0,2.0,3.0,4.0,,1.0,4.0
Ursula Schneider Schüttel,4.0,5.0,,,,4.0,5.0
Ursula Wyss,1.0,2.0,3.0,4.0,,1.0,4.0
Verena Diener Lenz,3.0,4.0,,,,3.0,4.0
Verena Herzog,4.0,5.0,,,,4.0,5.0
Viola Amherd,2.0,3.0,4.0,5.0,,2.0,5.0
Vreni Hubmann,1.0,2.0,,,,1.0,2.0
Vreni Müller-Hemmi,1.0,2.0,,,,1.0,2.0
Walter Donzé,1.0,2.0,3.0,,,1.0,3.0
Walter Glur,1.0,2.0,3.0,,,1.0,3.0
Walter Müller,2.0,3.0,4.0,5.0,,2.0,5.0
Walter Wobmann,2.0,3.0,4.0,5.0,,2.0,5.0
Werner Hösli,4.0,5.0,,,,4.0,5.0
Werner Luginbühl,3.0,4.0,5.0,,,3.0,5.0
Werner Marti,1.0,2.0,3.0,,,1.0,3.0
Werner Messmer,1.0,2.0,3.0,,,1.0,3.0
Yvette Estermann,3.0,4.0,5.0,,,3.0,5.0
Yvonne Feri,4.0,5.0,,,,4.0,5.0
Yvonne Gilli,3.0,4.0,,,,3.0,4.0
