,Phrase,qui
332,"('spar', 'spar')",1.1576828465818418e-05
333,"('verletz', 'person')",1.1576828465818418e-05
334,"('kredit', 'million')",1.1569568943436294e-05
335,"('dringend', 'notwend')",1.156503216905914e-05
336,"('erleichtert', 'einburger')",1.1541525399238092e-05
337,"('leutenegg', 'filippo')",1.1525923283621685e-05
338,"('gewiss', 'fall')",1.142018984153571e-05
339,"('international', 'tatig')",1.142018984153571e-05
340,"('letzt', 'woch')",1.1305546925279594e-05
341,"('bereich', 'bildung')",1.1084782561543508e-05
342,"('bestimm', 'enthalt')",1.103161038800168e-05
343,"('erneuerbar', 'energi')",1.0926660922425556e-05
344,"('kraft', 'tret')",1.0863495205679896e-05
345,"('famili', 'beruf')",1.072742047025154e-05
346,"('gegenvorschlag', 'avantiinitiativ')",1.072742047025154e-05
347,"('journalistinn', 'journalist')",1.072742047025154e-05
348,"('konsument', 'konsumentinn')",1.072742047025154e-05
349,"('universitat', 'eth')",1.072742047025154e-05
350,"('vorschlag', 'unterbreit')",1.072742047025154e-05
351,"('land', 'volk')",1.0604414365909076e-05
352,"('ziff', 'iii')",1.0604414365909076e-05
353,"('bauerinn', 'bau')",1.0600695258943172e-05
354,"('stand', 'technik')",1.0568377210068629e-05
355,"('gesetz', 'verank')",1.055836950747453e-05
356,"('strukturell', 'defizit')",1.0528353786134264e-05
357,"('extern', 'kost')",1.0502846641132553e-05
358,"('vereinfach', 'steuersystem')",1.0502846641132553e-05
359,"('voll', 'kognition')",1.0502846641132553e-05
360,"('ausserparlamentar', 'kommission')",1.0495789347531757e-05
361,"('doppelt', 'strafbar')",1.0495789347531757e-05
362,"('ausland', 'send')",1.0489393743868042e-05
363,"('kantonal', 'universitat')",1.0489393743868042e-05
364,"('wichtig', 'projekt')",1.0489393743868042e-05
365,"('per', 'januar')",1.0488181600830094e-05
366,"('heutig', 'praxis')",1.0439664465186714e-05
367,"('forschung', 'innovation')",1.021761947070928e-05
368,"('mitarbeiterinn', 'mitarbeit')",1.0211290125232584e-05
369,"('rot', 'kreuz')",1.0153997381654857e-05
370,"('frag', 'aufgeworf')",1.0142628049689368e-05
371,"('klar', 'begriff')",1.0125907238006163e-05
372,"('meinung', 'frag')",1.0125907238006163e-05
373,"('international', 'organisation')",1.0117495199738457e-05
374,"('marti', 'wern')",1.010048054056786e-05
375,"('wichtig', 'schritt')",1.010048054056786e-05
376,"('bundesamt', 'verkehr')",1.0079992250325805e-05
377,"('à', 'la')",9.933270458787434e-06
378,"('bundesverwaltungsgericht', 'st')",9.859297363452111e-06
379,"('hofmann', 'han')",9.859297363452111e-06
380,"('zwingend', 'notwend')",9.859297363452111e-06
381,"('bundesamt', 'kultur')",9.75605207192304e-06
382,"('land', 'verlass')",9.756036163348782e-06
383,"('indirekt', 'gegenvorschlag')",9.755649911526416e-06
384,"('eindruck', 'erweckt')",9.725123888559062e-06
385,"('liegt', 'hand')",9.725123888559062e-06
386,"('fakultativ', 'referendum')",9.67619145091918e-06
387,"('abgab', 'gebuhr')",9.66978847147318e-06
388,"('autonomi', 'kanton')",9.66978847147318e-06
389,"('einzutret', 'detailberat')",9.66978847147318e-06
390,"('sag', 'bewusst')",9.66978847147318e-06
391,"('schweizer', 'eisenbahnnetz')",9.66978847147318e-06
392,"('straf', 'stell')",9.66978847147318e-06
393,"('deutsch', 'bahn')",9.618836749673673e-06
394,"('einfach', 'geld')",9.618836749673673e-06
395,"('einhell', 'meinung')",9.618836749673673e-06
396,"('entschied', 'meinung')",9.618836749673673e-06
397,"('etapp', 'bahn')",9.618836749673673e-06
398,"('finanziell', 'verantwort')",9.618836749673673e-06
399,"('geistig', 'behindert')",9.618836749673673e-06
400,"('sicherheitspolit', 'bericht')",0.00012758714007362067
401,"('patientinn', 'patient')",0.00012014712347637972
402,"('million', 'frank')",0.00011246571630909678
403,"('konsumentinn', 'konsument')",0.00010247308423344373
404,"('europa', 'union')",5.033954022769493e-05
405,"('erneuerbar', 'energi')",4.910033609138607e-05
406,"('arbeitnehmerinn', 'arbeitnehm')",4.74768829841689e-05
407,"('kind', 'jugend')",4.319627254087161e-05
408,"('mittl', 'einkomm')",4.221790556545476e-05
409,"('pro', 'helvetia')",4.215379465864657e-05
410,"('sbb', 'cargo')",3.917054077968993e-05
411,"('kommission', 'rechtsfrag')",3.802037129295156e-05
412,"('technisch', 'vorschrift')",3.523598518952503e-05
413,"('kalt', 'progression')",3.374484341382588e-05
414,"('mieterinn', 'miet')",3.351381237403441e-05
415,"('arme', 'xxi')",3.3480087373514244e-05
416,"('nam', 'kommissionsmind')",3.175944983391994e-05
417,"('hoh', 'einkomm')",3.096926161194213e-05
418,"('klar', 'meinung')",3.053787805392439e-05
419,"('staatspolit', 'kommission')",2.9662208054519337e-05
420,"('arztinn', 'arzt')",2.9083937120046546e-05
421,"('milliard', 'frank')",2.872585127496557e-05
422,"('mind', 'abzulehn')",2.7392583563739826e-05
423,"('angehor', 'arme')",2.728041414969967e-05
424,"('steuerzahlerinn', 'steuerzahl')",2.703481008947399e-05
425,"('chef', 'arme')",2.570987033055076e-05
426,"('betroff', 'person')",2.537916455446997e-05
427,"('tief', 'einkomm')",2.526810382558675e-05
428,"('sozial', 'okolog')",2.493605801099276e-05
429,"('ruckzahlbar', 'darleh')",2.413606311166254e-05
430,"('initiantinn', 'initiant')",2.388842134934405e-05
431,"('unternehmenssteuerreform', 'ii')",2.3218077379724986e-05
432,"('christoph', 'bloch')",2.306105122888007e-05
433,"('still', 'reserv')",2.268595349187895e-05
434,"('rentnerinn', 'rentn')",2.2285979194318854e-05
435,"('kanton', 'baselstadt')",2.228259779455848e-05
436,"('bitt', 'initiativ')",2.2149441129976285e-05
437,"('einheit', 'materi')",2.199042725695265e-05
438,"('schweizerinn', 'schweiz')",2.1632512105897326e-05
439,"('burg', 'mehrheit')",2.07540118321082e-05
440,"('stellt', 'frag')",2.065594530608565e-05
441,"('hoh', 'preis')",2.0634060512347892e-05
442,"('schweiz', 'bevolker')",2.0529813017605678e-05
443,"('bedingt', 'ruckzahlbar')",2.0156372248862477e-05
444,"('land', 'bevolker')",2.0156372248862477e-05
445,"('administrativ', 'aufwand')",1.9956501331142662e-05
446,"('bilateral', 'hilf')",1.9712586140310893e-05
447,"('beantrag', 'nam')",1.967877333501156e-05
448,"('scheint', 'wichtig')",1.958903543314152e-05
449,"('arme', 'arme')",1.9380293336296494e-05
450,"('kanton', 'aargau')",1.9334104869612358e-05
451,"('aktiv', 'markt')",1.9316793581174203e-05
452,"('flankier', 'massnahm')",1.9221386615922973e-05
453,"('ausgleich', 'kalt')",1.907266352145961e-05
454,"('kanton', 'thurgau')",1.880886948833844e-05
455,"('bildung', 'forschung')",1.8795847893351998e-05
456,"('autonomi', 'hochschul')",1.8773344220635385e-05
457,"('patentgeschutzt', 'produkt')",1.8673186463478347e-05
458,"('vereinfach', 'steuersystem')",1.8673186463478347e-05
459,"('verkehr', 'gebracht')",1.8237713397711177e-05
460,"('schwarz', 'list')",1.7958274389774062e-05
461,"('stuf', 'bund')",1.78059784046387e-05
462,"('schweiz', 'schul')",1.7793091620003868e-05
463,"('grundsatz', 'uberleg')",1.7760033009501636e-05
464,"('kommission', 'schlagt')",1.7673831799701544e-05
465,"('fassung', 'mehrheit')",1.7657671888835473e-05
466,"('privilegiert', 'einlag')",1.763606575760561e-05
467,"('ursprung', 'antrag')",1.763606575760561e-05
468,"('person', 'waff')",1.6865815191125722e-05
469,"('aktionarinn', 'aktionar')",1.671328231351472e-05
470,"('ungult', 'erklart')",1.6601520971036062e-05
471,"('untergeordnet', 'bedeut')",1.6601520971036062e-05
472,"('jahrlich', 'wiederwahl')",1.6490165613378666e-05
473,"('alt', 'arbeitnehm')",1.621404294082298e-05
474,"('sri', 'lanka')",1.621404294082298e-05
475,"('flexibl', 'rentenalt')",1.6148519387303706e-05
476,"('international', 'arbeitsorganisation')",1.6148519387303706e-05
477,"('jung', 'arbeitslos')",1.6148519387303706e-05
478,"('anlass', 'sitzung')",1.602421826446654e-05
479,"('rahm', 'eintret')",1.602421826446654e-05
480,"('selbstgenutzt', 'wohneigentum')",1.602421826446654e-05
481,"('besteuer', 'wirtschaft')",1.5974529287546442e-05
482,"('dringend', 'notwend')",1.5912333205049787e-05
483,"('international', 'erschopf')",1.5730515425388063e-05
484,"('auslanderinn', 'ausland')",1.559098110512522e-05
485,"('bundeshaus', 'ost')",1.5350756315971697e-05
486,"('carobbio', 'guscetti')",1.5208797152997824e-05
487,"('einzeln', 'ratsmitglied')",1.5094792838967987e-05
488,"('erstell', 'konzernrechn')",1.5094792838967987e-05
489,"('gesetz', 'schreib')",1.4953046872802756e-05
490,"('gewiss', 'kreis')",1.4912578326211814e-05
491,"('luftfahrtpolit', 'bericht')",1.4912578326211814e-05
492,"('toni', 'brunn')",1.4912578326211814e-05
493,"('biomedizin', 'forschung')",1.4696939686108166e-05
494,"('steu', 'abgab')",1.465702813890975e-05
495,"('erhoh', 'frauenrentenalt')",1.4541629757133664e-05
496,"('wirtschaft', 'leistungsfah')",1.4517922956193304e-05
497,"('kommissionsmind', 'bitt')",1.4213163050303202e-05
498,"('bitt', 'antrag')",1.4123228207922815e-05
499,"('treu', 'glaub')",1.4068452104275403e-05
500,"('betrag', 'million')",1.4047772503853696e-05
501,"('tot', 'buchstab')",1.4042595791285114e-05
